32.73.25,Cibiru,-,-,Koperasi Penjamin Kredit,Jl. Soekarno Hatta No. 641
32.73.25,Cibiru,-,-,Koperasi Karyawan Surya Jaya Bandung,Jl. Soekarno Hatta No. 703
32.73.25,Cibiru,-,-,Koperasi Karyawan Omedata K2O Bandung,Jl. Soekarno Hatta Km 2 No. 176 40223
32.73.25,Cibiru,-,-,Koperasi Al-Istianah,Jl. Gg Pesantren No. 13  RT 01 RW 02
32.73.25,Cibiru,-,-,Koperasi Pondok Pesantren,Jl. Cilengkrang II RT 05 RW 08
32.73.25,Cibiru,-,-,Koperasi Tunas Nusantara,Jl. Raya Cipadung 105
32.73.25,Cibiru,-,-,Koperasi Bina Warga Madiri,Jl. Bumi Panyileukan Blok. H.5 No. 2
32.73.25,Cibiru,-,-,Koperasi Usaha Mandiri,Jl. Cipadung Raya No. 312
32.73.25,Cibiru,-,-,KOPAGA Kalimasada,Jl. Permai V No. 97
32.73.25,Cibiru,-,-,KOPETANI Tanmn pangan dan Poltikum Tura,Jl. Cilengkrang I No. 125
32.73.25,Cibiru,-,-,Koperasi Karyawan FS DKM,Jl. Cilengkrang II/157
32.73.25,Cibiru,-,-,Koperasi Karyawan YPI Ar-Rosyidiyah,Jl. Cikuda 05/11
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Bina karya Pertama,Jl. Cilengkrang II No. 166/B
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Cempaka Putih,Jl. Paniisan I No. 10
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Vijaya Kusuma,Komp. Vijaya Kusuma Blok A 15/110
32.73.25,Cibiru,-,-,Koperasi Karyawan PT Masome Kopkarmas,Jl. Raya Timur No. 100
32.73.25,Cibiru,-,-,Kodaga Makmur Jaya,Jl. Kosambi No. 80
32.73.25,Cibiru,-,-,Koperasi Al-Ghifari,Jl. Pasanggrahan Indah No. 6
32.73.25,Cibiru,-,-,Koperasi Jamaah Mesjid Al manami,Jl. Cikuda RT 02 RW 11
32.73.25,Cibiru,-,-,Koperasi Karyawan Yayasan AQRO,Jl. Manglayang IV No. 1
32.73.25,Cibiru,-,-,KOPAGA Bewara,Jl. Komp. Bumi Panyileukan P2 No. 10
32.73.25,Cibiru,-,-,Kopaga Tirtawening,Jl. Tirtawening No. 85
32.73.25,Cibiru,-,-,KOPENTRA Al - Hasan,Jl. Komp. Bumi Panyileukan F-15 No. 12
32.73.25,Cibiru,-,-,Koperasi Bina Usahawan Muda,Jl. Tirta Wening No. 52
32.73.25,Cibiru,-,-,Koperasi Guru KaryawanYayasan Pendidikan Basadhika Karya SWAGUNA,Jl. Desa Cipadung No. 71
32.73.25,Cibiru,-,-,KORSA Al-muhajirin,Jl. Desa Cipadung RT 04 RW 04
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Aneka Balantaka,Jl. Panyileukan Raya B-10/22
32.73.25,Cibiru,-,-,Koperasi Serba Usaha AM KM,Jl. Komp. Panyileukan C-22 No. 9
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Batu Hobon,Jl. Cilengkrang II No. 202
32.73.25,Cibiru,-,-,Koperasi Serba Usaha LATANSA,Jl. Pangalitan 21
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Mandiri,Jl. Bumi Panyileukan M.6/21
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Mitra Rekan Sejahtera,Jl. Raya Cipadung 12
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Mitra Usaha,Jl. Cilengkrang II No. 1
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Prima Sejahtera,Jl. Desa Cipadung
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Sauyunan,Jl. Mekar Sari No. 1 Manisi
32.73.25,Cibiru,-,-,Koperasi Mahasiswa IAIN Sunan Gunung Jati,Jl. Raya Uber No. 105
32.73.25,Cibiru,-,-,Primkopol Resort Kota Bdg Timur,Jl. Uber No. 21
32.73.25,Cibiru,-,-,Koperasi Syariah Nurul Qolbi,Komp. Vijaya Kusuma Blok A3A No. 5
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Mitra Prima,Jl. Raya Cipadung No. 521
32.73.25,Cibiru,-,-,Koperasi Keuangan Mikro Syariah Al-Amin,Komp.Penyileukan Blok F-14 o.6
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Motekar,Jl. Desa Cipadung No. 213
32.73.25,Cibiru,-,-,Koperasi Rereongan Antar Tetangga,Jl. Komp.Kopedi II No. 48
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Mitra Usaha,Jl. Puspita No. 5 Taman Cipadung Indah
32.73.25,Cibiru,-,-,Koperasi Aro Mahesa Biru,Jl. Cipulus RT 01 RW 04
32.73.25,Cibiru,-,-,Koperasi Giri Mukti KGM,Jl. Giro Mukti Barat No. 20
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Perjuangan Ekonomi Rakyat,Jl. Cilengkrang II
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Mitra Mandiri,Jl. Cisalatri No. 148
32.73.25,Cibiru,-,-,Koperasi Pengrajin Langgeng Masyarakat,Jl. Cigagak
32.73.25,Cibiru,-,-,Koperasi Simpan Pinjam Pandawa,Jl. Kesuma Bhakti No. 4
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Sri Rezeki,Jl. Kusuma Elok Blok A lama  No. 122
32.73.25,Cibiru,-,-,KOPAGA Bumi Penyileukan Bupaq,Jl. Komp. Bumi PanyileukanBlok Q7/4
32.73.25,Cibiru,-,-,Koperasi Karyawan Genta Trikarya,Jl. Raya Ujung Berung No. 69 Km. 12.6
32.73.25,Cibiru,-,-,Koperasi Primer Sembako Warung Jaya,Jl. Saluyu III No. 1
32.73.25,Cibiru,-,-,Koperasi Rakyat Sauyuan,Jl. Pakan II No. 7
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Intan Lestari,Jl. Bumi Panyileukan No. 1
32.73.25,Cibiru,-,-,Koperasi Dosen Karyawan IAIN Sunan Gunung Jati Fakultas Ushuluddin,Jl. A.H. Nasuion No. 115
32.73.25,Cibiru,-,-,Koperasi Serba Usaha Tatali Wangi Pasirbiru,Jl. Babakandesa No. 26
32.73.25,Cibiru,32.73.25.1003,Cipadung,Koperasi serba usaha mawar resik mandiri,Jl. kusuma kencana No. 08
32.73.25,Cibiru,32.73.25.1003,Cipadung,Koperasi Serba Usaha Parna Jaya - KSU PARNA JAYA,Jl. Embah Jaksa Cipadung Legit No. 311
32.73.25,Cibiru,32.73.25.1003,Cipadung,Koperasi Purnawirawan ABRI Kecamatan Cibiru,Jl. Cilengkrang II No. 46
32.73.25,Cibiru,32.73.25.1003,Cipadung,Koperasi Mahasiswa UIN Bandung,Jl. A.H. Nasution No. 150
32.73.25,Cibiru,32.73.25.1001,Cisurupan,Koperasi Rinwan Femi Bai a,Jl. Cilengkrang I Cilengkrang Residence No. 2
32.73.25,Cibiru,32.73.25.1001,Cisurupan,Koperasi UP2K Barokah Cisurupan,Jl. Cilengkrang I No. 130
32.73.25,Cibiru,32.73.25.1001,Cisurupan,Koperasi Serba Usaha Cilengkrang,Jl. Cilengkrang 1 No. 62
32.73.25,Cibiru,32.73.25.1004,Palasari,Koperasi Wanita Palasari MITRA MANDIRI,Jl. Galumpit No. 01
32.73.25,Cibiru,32.73.25.1004,Palasari,Koperasi Karyawan Perum Perhutani KBM Industri KOPKAR PERHUTANI KBM,Jl. Abdul Haris Nasution No. 4B RT 02 RW 01
32.73.25,Cibiru,32.73.25.1004,Palasari,Koperasi Wredatama RI Mitra Sugema,Jl. Manglayang Bawah No. 461
32.73.25,Cibiru,32.73.25.1002,Pasir Biru,Koperasi Konsumen Yayasan Bina Cendikia Sentosa Bandung,-
32.73.25,Cibiru,32.73.25.1002,Pasir Biru,Koperasi Kembar Mitra Usaha,Jl. Mekarjati No. 100
32.73.25,Cibiru,32.73.25.1002,Pasir Biru,KPRI KANDEPDIKBUD Dinas P dan K Kecamatan Cibiru,Jl. A.H. Nasution KM 14.5
32.73.25,Cibiru,32.73.25.1002,Pasir Biru,Koperasi Karyawan SMU Krida Nusantara,Kampus Krida Nusantara Jl. Ds Cipadung Cibiru
